华中科技大学,李文龙,机械电子工程,华中科技大学
华中科技大学,王征,外科学（普外）,华中科技大学
华中科技大学,薛宇,生物信息技术,华中科技大学
华中农业大学,谢卡斌,植物病理学,华中农业大学
吉林大学,白刚,马克思主义哲学,吉林大学
暨南大学,蔡倩,药物化学,暨南大学
暨南大学,高昊,中药化学,暨南大学
暨南大学,鞠海龙,国际关系学,暨南大学
暨南大学,李云飞,世界史,暨南大学
暨南大学,刘涛,传播学,暨南大学
江南大学,王艳,控制理论与控制工程,江南大学
江南大学,张凌浩,工业设计,江南大学
江南大学,周景文,发酵工程,江南大学
江苏大学,施伟东,应用化学,江苏大学
兰州大学,向云,植物学,兰州大学
南方科技大学,刘心元,有机化学,南方科技大学
南方医科大学,张惠杰,内科学（内分泌与代谢病）,南方医科大学
南方医科大学,赵小阳,发育生物学,南方医科大学
南京大学,曹剑,矿产普查与勘探,南京大学
南京大学,江德臣,分析化学,南京大学
南京大学,许开全,企业管理学,南京大学
南京大学,张亮,马克思主义哲学,南京大学
南京航空航天大学,郭宇锋,固体力学,南京航空航天大学
南京理工大学,丁大志,电磁场与微波技术,南京理工大学
南京理工大学,张先锋,火炮、自动武器与弹药工程,南京理工大学
南京农业大学,徐志刚,农村区域发展,南京农业大学
南京农业大学,宣伟,植物营养学,南京农业大学
南京信息工程大学,刘博,通信与信息系统,南京信息工程大学
南京邮电大学,肖甫,计算机系统结构,南京邮电大学
南京邮电大学,赵强,有机电子学,南京邮电大学
南开大学,李辉,旅游管理学,南开大学
南开大学,孙浦阳,世界经济,南开大学
清华大学,程啸,民商法学(含劳动法学、社会保障法学),清华大学
清华大学,杜亚楠,组织工程,清华大学
清华大学,冯骅,天体物理,清华大学
清华大学,戈钧,生物化工,清华大学
清华大学,郭庆来,电力系统及其自动化,清华大学
清华大学,李丹,计算机系统结构,清华大学
清华大学,李刚,信号与信息处理,清华大学
清华大学,马弘,国际贸易学,清华大学
清华大学,马天宝,机械设计与理论,清华大学
清华大学,聂鑫,法律史,清华大学
清华大学,王轲,材料学,清华大学
清华大学,吴璟,区域经济学,清华大学
清华大学,胥蕊娜,工程热物理,清华大学
清华大学,杨汉波,水文学及水资源,清华大学
清华大学,张靖,控制理论与控制工程,清华大学
清华大学,张莹莹,材料物理与化学,清华大学
曲阜师范大学,胡钦晓,高等教育学,曲阜师范大学
山东大学,李忠夏,宪法学与行政法学,山东大学
山东大学,翟奎凤,中国哲学,山东大学
山东大学,赵涵,妇产科学,山东大学
山东师范大学,李娜,分析化学,山东师范大学
山西大学,高山,科学技术哲学,山西大学
山西大学,胡英泽,专门史,山西大学
上海财经大学,何贤杰,会计学,上海财经大学
上海财经大学,刘莉亚,金融学（含保险学）,上海财经大学
上海大学,孙秀林,社会学,上海大学
上海交通大学,陈长鑫,微电子学与固体电子学,上海交通大学
上海交通大学,陈作松,体育人文社会学,上海交通大学
上海交通大学,谷国迎,机械电子工程,上海交通大学
上海交通大学,胡丹,计算数学,上海交通大学
