names,direction,money,experience,condition,company,welfare
芯片数字电路设计工程师,上海·岳阳,30k-60k,经验3-5年 / 本科,硬件 / 不需要融资 / 2000人以上,vivo,芯片规划中心
芯片数字电路设计工程师,杭州·余杭区,30k-60k,经验3-5年 / 本科,硬件 / 不需要融资 / 2000人以上,vivo,芯片规划中心
销售工程师,深圳·宝安区,4k-8k,经验1-3年 / 大专,硬件 / 未融资 / 少于15人,铁马飞,提成丰厚，收入可观，挑战高薪
MCU开发工程师,上海·嘉定区,10k-15k,经验1-3年 / 本科,"其他,企业服务 / 未融资 / 150-500人",上海航盛,人才公寓提供 员工旅游等
嵌入式软件开发（小米生态链企业）,北京·上地,10k-20k,经验3-5年 / 本科,"硬件,移动互联网 / B轮 / 50-150人",北京智米科技,独角兽公司，发展空间大
嵌入式软件工程师,上海·嘉定区,10k-18k,经验3-5年 / 本科,"其他,企业服务 / 未融资 / 150-500人",上海航盛,员工宿舍体检旅游 年终奖项目奖
嵌入式软件工程师,南京·开发区,11k-18k,经验应届毕业生 / 本科,"汽车丨出行,软件开发 / 未融资 / 15-50人",飞音软件,五险一金，双休，人性化管理
硬件工程师,成都·白家,6k-9k,经验1-3年 / 本科,软件开发 / 未融资 / 150-500人,成都淞幸科技,绩效奖金，年终奖金，餐饮补贴，员工旅游
嵌入式软件开发工程师,威海·环翠区,6k-10k,经验1-3年 / 大专,"通讯电子,物联网 / A轮 / 150-500人",精讯畅通,技术领先 物联网行业 研发项目多
MCU工程师,南京·铁心桥,8k-15k,经验不限 / 本科,"移动互联网,硬件 / 未融资 / 50-150人",欣威视通,扁平管理、周末双休、丰厚补贴、提供食宿
嵌入式软件开发工程师,上海,12k-18k,经验3-5年 / 大专,"移动互联网,硬件 / 不需要融资 / 50-150人",多赋信息,五险一金，不加班
CAN软件主管工程师,南京·开发区,11k-22k,经验应届毕业生 / 本科,"汽车丨出行,软件开发 / 未融资 / 15-50人",飞音软件,五险一金，双休，人性化管理
硬件工程师,广州·黄埔区,6k-12k,经验1-3年 / 本科,"移动互联网,物联网 / 未融资 / 150-500人",高谱技术,周末双休 年度体检 旅游 朝九晚六
硬件工程师,深圳·莲花二村,9k-12k,经验1-3年 / 本科,消费生活 / 不需要融资 / 150-500人,中钞科信,"管食宿,出差补贴,五险贰金,14-20薪"
嵌入式工程师,西安·雁塔区,7k-12k,经验1-3年 / 本科,"企业服务,其他 / 未融资 / 少于15人",西安工大天成科技有限公司,创业公司，献身国防。
嵌入式软件工程师,广州·南沙区,10k-20k,经验3-5年 / 本科,"文娱丨内容,其他 / 未融资 / 150-500人",GANcube,行业领先 优秀团队 企业氛围好
初级硬件工程师（电子电路方向）,广州·天河区,5k-8k,经验不限 / 本科,"移动互联网,硬件 / 天使轮 / 50-150人",大气候物联网科技,年假、体检、旅游、双休、五险一金等
芯片数字电路设计工程师,杭州·余杭区,30k-60k,经验3-5年 / 本科,硬件 / 不需要融资 / 2000人以上,vivo,芯片规划中心
电子工程师,苏州·昆山市,8k-15k,经验3-5年 / 本科,其他 / 上市公司 / 50-150人,特思达,发展前景
电子工程师,郑州·经开区,8k-15k,经验不限 / 本科,医疗丨健康 / 天使轮 / 少于15人,光超医疗,"培训机会,优秀团队,扁平管理,岗位晋升"
硬件电路设计工程师,北京·中关村,15k-30k,经验3-5年 / 本科,人工智能 / D轮及以上 / 500-2000人,旷视MEGVII,AI独角兽
半导体电路设计专家,东莞·东莞市市辖区,40k-70k,经验5-10年 / 本科,硬件 / 不需要融资 / 2000人以上,vivo,发展前景 薪酬福利
（PCB板级） 电路设计开发,宁波·海曙区,9k-15k,经验3-5年 / 本科,"移动互联网,人工智能 / 未融资 / 50-150人",宁波工业互联网研究院,"弹性工作,带薪年假,五险一金,领导好"
高级电子工程师,广州·市桥,15k-30k,经验3-5年 / 大专,电商 / 未融资 / 150-500人,优象文化,调薪 年终奖 培训 包餐 下午茶 奖金
电子工程师,深圳·光明新区,10k-15k,经验1-3年 / 本科,人工智能 / 未融资 / 50-150人,深圳智为机器人有限公司,月薪+业绩奖金/提成
电子硬件工程师,深圳·西丽,12k-18k,经验3-5年 / 本科,"移动互联网,硬件 / A轮 / 15-50人",BrainCo.lnc,"名企孵化,强大团队,丰厚待遇"
汽车电子硬件工程师,深圳·科技园,18k-35k,经验5-10年 / 本科,硬件 / 未融资 / 2000人以上,DJI大疆创新,发展前景好，技术氛围浓，技术大牛多
电子中级工程师,深圳·上梅林,10k-15k,经验3-5年 / 本科,硬件 / 不需要融资 / 500-2000人,万睿科技,餐补 话贴 年终 旅游 员工体检
EE电子工程师(眼镜）,北京·双井,20k-40k,经验5-10年 / 本科,其他 / 不需要融资 / 500-2000人,实地地产集团有限公司,六险一金
电子电路工程师,上海·闵行区,10k-18k,经验1-3年 / 本科,其他 / 不需要融资 / 150-500人,上海太易检测,周末双休，提供住宿，午餐，年终奖
电子工程师,深圳·龙岗区,8k-15k,经验1-3年 / 不限,人工智能 / 未融资 / 500-2000人,华周测控,注重员工个人能力，技能培训 晋升发展空间
微波电路设计工程师,成都·犀浦,6k-12k,经验3-5年 / 本科,"移动互联网,电商 / 未融资 / 50-150人",高斯贝尔,五险一金、带薪年假、周末双休、餐补、房补
测试工程师自动化,杭州·江南,7k-12k,经验1-3年 / 本科,"企业服务,金融 / 不需要融资 / 2000人以上",汇合,五天七小时  加班费  稳定
自动化测试工程师,广州·珠江新城,15k-22k,经验5-10年 / 本科,"数据服务,金融 / 未融资 / 500-2000人",CLPS,"双休,六险一金,年终奖,弹性上下班"
